tipo_hotel,cancelada,dias_anticipacion,anio_llegada,mes_llegada,noches_finde,noches_semana,adultos,ninos,regimen_comida,pais_origen,canal_reserva,tipo_deposito,tipo_cliente,tarifa_diaria,solicitudes_especiales,estado_reserva
Resort Hotel,0,109,2016,January,0,1,2,0.0,BB,RUS,Online TA,No Deposit,Transient-Party,59.94,1,Check-Out
Resort Hotel,0,109,2016,January,0,1,2,2.0,BB,RUS,Online TA,No Deposit,Transient-Party,116.1,1,Check-Out
Resort Hotel,1,2,2016,January,0,1,2,0.0,BB,PRT,Online TA,No Deposit,Transient,89.0,1,No-Show
Resort Hotel,0,88,2016,January,0,2,2,0.0,HB,ARG,Online TA,No Deposit,Transient,73.46,2,Check-Out
Resort Hotel,1,20,2016,January,0,2,2,2.0,BB,PRT,Online TA,No Deposit,Transient,119.0,0,Canceled
Resort Hotel,1,76,2016,January,1,2,2,0.0,BB,PRT,Online TA,No Deposit,Transient,57.9,1,Canceled
Resort Hotel,0,88,2016,January,0,2,2,1.0,HB,ARG,Online TA,No Deposit,Transient,90.17,2,Check-Out
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
Resort Hotel,1,113,2016,January,0,1,2,0.0,HB,PRT,Groups,Non Refund,Transient,72.0,0,Canceled
