Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
14417,1078,39,Great dress!,This dress looks and feels classy and expensive! every time i wear it out i get compliments on the color and style.,5,1,0,General Petite,Dresses,Dresses
13933,1047,64,Flattering and comfy,"I love flowy pants like these. pattern looks different, the green is pale, like on the far right. smocking is a beautiful touch and they are a nice weight and well made. had to hem them up about 2"" and i'm 5'8"", about 180. xl fits perfectly.",5,1,2,General,Bottoms,Pants
23086,1047,39,Perfect summer pants,"Recently bought these on sale, though they were still a bit in the expensive side. i'm 5'2"" and typically a size 4, the xs fits perfectly. the pants fall to my ankle and are not cropped as they are on the model, but i'm fine with that. the piping on the seams helps them not seem too much like pajamas, and i was particularly pleased that the crotch was not too baggy, as sometimes happens with this style.",5,1,1,General Petite,Bottoms,Pants
16414,1086,41,"Great, easy dress","I adore this dress. i bought a little over a month ago and have already worn it many times- rare for me. it is so easy to throw on and yet it's stylish and flattering- i don't have the time or energy i used to get dressed up so i love this. when i bought it, it was knotted on one side in the front. that's the only way i wear it now. it just adds something to it and gives it more shape. i've washed it several times (laid flat to dry) and it has held up well. i'm definitely bookmarking this to buy",5,1,1,General,Dresses,Dresses
613,985,24,Plaid bomb pairs fabulous with everything fall!,"I had been on the hunt for a plaid bomber to rock this fall and this retailer edition bomber surpassed all of my expectations! it literally pairs great with everything fall.. chokers, boots, dresses; you name it! it also fits very true to size. not too fit to your body, and a little loose, but not too loose.. just like a bomber jacket should! i highly recommend this product.",5,1,1,General,Jackets,Jackets
9632,868,37,Flattering tunic for any occasion,"Love this top. it's very comfortable,  and flatters  my midsection. versatile piece.",5,1,0,General,Tops,Knits
22706,1087,52,Very figure flattering,"I have been self conscious about a recent weight gain going from a size 6 to a size 10-12, but this dress makes me look & feel skinny again. i know people have suggested that vertical stripes help if you want to elongate your figure. it is true. thanks to this dress i look like my old self, and i am super comfortable wearing this all the time. you can wear this dress from day to night, you can dress this up or down. it looks great with a jean jacket and high-tops, or high-heeled booties with a n",5,1,0,General Petite,Dresses,Dresses
19817,822,59,Breath of fresh air,"This looks great with the pilcro lace bottom white jeans. i bought the yellow and blue and it is flattering on. longer in the back. i love the style of the sleeves. very flattering style and fun, flirty and feminine. slightly see through. depending on your modesty level a nude bra may be just fine or else a nude cami. a really fresh look for summer. i do not think it looks cheap. i do think it is overpriced but i have a hard time finding tops that hit me at the right length in front and are not",5,1,1,General,Tops,Blouses
1443,1094,39,Not a halter?,"Thrilled that this not only fits great on me but i got it at a deep sale price!  all the problems that the negative reviewers had did not apply to me at all.  i'm so glad i gave this a try.  my body is large on top with a square waist, a bit of a tummy, no hips or bum and the medium petite skimmed over all my flaws and made me look more proportionate.  not sure why this is called halter though.  i am 5'3"" 36dd, wide torso, size 28 jeans, 140#.",5,1,2,General,Dresses,Dresses
16430,1086,53,Summer travel perfection,"I created a summer capsule wardrobe for travel and this t-shirt dress fits in with my collection perfectly. it is well made, super soft and comfortable, launders well, and does not require ironing. it is substantial enough to provide coverage across the posterior and the cap sleeves and length are fabulous for visiting sacred places and dining out or as a beach cover-up. i love that you can simply throws this on and go or dress it up with a belt, add a scarf or kimono, or a jacket and voila.",5,1,0,General,Dresses,Dresses
