,children,days_employed,dob_years,education,family_status,gender,income_type,debt,total_income
0,1,8437.673027760233,42,bachelor's_degree,married,f,employee,0,40620.102
1,1,4024.803753850451,36,secondary_education,married,f,employee,0,17932.802
2,0,5623.422610230956,33,secondary_education,married,m,employee,0,23341.752
3,3,4124.747206540018,32,secondary_education,married,m,employee,0,42820.568
4,0,1605.0696503579034,53,secondary_education,civil_partnership,f,retiree,0,25378.572
5,0,926.1858308789184,27,bachelor's_degree,civil_partnership,m,business,0,40922.17
6,0,2879.202052139952,43,bachelor's_degree,married,f,business,0,38484.156
7,0,152.7795691752705,50,secondary_education,married,m,employee,0,21731.829
8,2,6929.865298973741,35,bachelor's_degree,civil_partnership,f,employee,0,15337.093
9,0,2188.7564450779378,41,secondary_education,married,m,employee,0,23108.15
10,2,4171.483646903305,36,bachelor's_degree,married,m,business,0,18230.959
11,0,792.7018870609315,40,secondary_education,married,f,employee,0,12331.077
12,0,1605.0696503579034,65,secondary_education,civil_partnership,m,retiree,0,21642.797
13,0,1846.6419410560736,54,some_college,married,f,employee,0,20873.317
14,0,1844.9561821875543,56,bachelor's_degree,civil_partnership,f,business,1,26420.466
15,1,972.3644189900732,26,secondary_education,married,f,employee,0,18691.345
16,0,1719.9342261530542,35,secondary_education,married,f,employee,0,46272.433
17,0,2369.999720209008,33,bachelor's_degree,civil_partnership,m,employee,0,14465.694
18,0,2508.785714756651,53,secondary_education,widow_widower,f,retiree,0,9091.804
19,0,10038.818548915877,48,secondary_education,divorced,f,employee,0,38852.977
20,1,1311.6041664289485,36,secondary_education,married,m,employee,0,33528.422999999995
21,1,253.68516578402495,33,secondary_education,civil_partnership,f,employee,0,21089.953
22,1,1766.6441376815046,24,secondary_education,civil_partnership,f,employee,0,23948.983
23,0,272.98138503340437,21,bachelor's_degree,civil_partnership,m,employee,0,20522.515
24,1,1402.6958157057654,57,secondary_education,unmarried,f,retiree,0,46487.558
25,0,1930.492446048558,67,secondary_education,married,m,retiree,0,8818.041
26,0,1930.492446048558,41,secondary_education,married,m,civil_servant,0,21529.434999999998
27,0,529.1916346594236,28,bachelor's_degree,married,m,employee,0,49415.837
28,1,717.2743239418727,26,bachelor's_degree,married,f,employee,0,30058.118
29,0,1253.8870939245164,63,secondary_education,unmarried,f,retiree,0,21524.948
30,1,1648.0860541202542,62,secondary_education,married,f,retiree,0,27432.971
31,0,1682.08343808475,47,primary_education,married,f,employee,0,44077.71
32,0,4649.910831728614,34,secondary_education,civil_partnership,f,employee,1,22249.194
33,0,1548.63754364046,48,secondary_education,married,f,business,0,25159.326
34,0,4488.067031277062,35,secondary_education,married,f,employee,0,16745.672
35,0,1605.0696503579034,68,secondary_education,civil_partnership,m,retiree,0,12448.908
36,0,176.21668833712155,33,secondary_education,unmarried,m,employee,0,22212.904
37,0,6448.810859676204,43,bachelor's_degree,civil_partnership,f,business,0,24660.621
38,0,597.8818273051091,25,bachelor's_degree,unmarried,m,employee,1,30759.568
39,0,650.5877964026586,31,bachelor's_degree,civil_partnership,f,business,0,120678.528
40,0,1030.3626056014652,30,secondary_education,unmarried,m,business,0,22858.493
41,0,1930.492446048558,50,secondary_education,married,f,civil_servant,0,21529.434999999998
42,0,1257.4961901986044,20,some_college,unmarried,f,employee,0,13130.414
43,0,4375.681384360526,43,some_college,divorced,f,business,0,43673.141
44,1,1362.0417275002387,26,secondary_education,married,f,employee,0,16124.879
45,1,1039.4517405766287,49,secondary_education,unmarried,f,employee,0,17021.747
46,2,2262.712303593806,37,secondary_education,married,f,business,0,29229.194
47,1,2689.1372742032745,33,bachelor's_degree,civil_partnership,m,civil_servant,0,57004.465
48,0,3341.0678863600633,45,secondary_education,married,f,employee,0,25930.483
49,0,1181.443228272809,54,secondary_education,married,f,employee,0,7134.689
50,0,1930.492446048558,63,secondary_education,married,f,retiree,0,14774.837
51,1,6953.631654563154,50,bachelor's_degree,civil_partnership,f,employee,0,32511.949
52,1,3554.6715257531628,28,secondary_education,married,f,employee,0,8439.428
53,0,4219.88338560805,61,secondary_education,divorced,f,business,0,49832.576
54,0,3480.072792773725,27,bachelor's_degree,civil_partnership,f,employee,0,14758.21
55,0,1605.0696503579034,54,secondary_education,civil_partnership,f,retiree,1,21642.797
56,0,2508.785714756651,64,secondary_education,widow_widower,f,retiree,0,23862.567000000006
57,0,2424.809748937992,44,secondary_education,widow_widower,f,employee,0,9378.625
58,0,335.31863038428764,36,bachelor's_degree,married,m,employee,0,66304.672
59,0,4341.7867754100425,53,secondary_education,civil_partnership,f,business,0,41819.121
60,1,2534.462390327333,48,secondary_education,married,m,employee,0,20784.365
61,0,2986.20212028634,42,secondary_education,civil_partnership,f,employee,0,27837.996
62,0,7845.6492334208915,48,bachelor's_degree,unmarried,m,civil_servant,0,69662.11099999999
63,0,1182.5477437277514,45,secondary_education,married,f,employee,0,17600.698
64,0,118.89141142450092,35,some_college,unmarried,m,employee,0,45264.075
65,0,1253.8870939245164,21,secondary_education,unmarried,m,business,0,21524.948
66,0,916.4288292557608,28,secondary_education,married,m,employee,0,23234.324
67,0,1798.3530216997779,52,bachelor's_degree,married,f,retiree,0,28965.388
68,2,2152.475526346754,46,bachelor's_degree,married,m,business,0,94731.434
69,0,779.2284491479346,23,secondary_education,unmarried,f,employee,0,14599.529
70,1,2802.2266713967297,28,bachelor's_degree,married,m,civil_servant,0,33209.835
71,0,1930.492446048558,62,secondary_education,married,f,retiree,0,7028.751
72,1,1430.7850660878871,32,bachelor's_degree,married,m,civil_servant,0,27662.672
73,0,1631.9394026219366,40,secondary_education,civil_partnership,m,employee,0,15671.495
74,1,5110.54370925475,45,secondary_education,married,f,employee,0,12982.845
75,1,2953.151947577933,38,secondary_education,married,m,employee,1,13109.661
76,1,2252.1927219941026,44,bachelor's_degree,married,m,employee,0,23838.725
77,0,726.9437706256638,43,bachelor's_degree,unmarried,f,employee,0,22535.036
78,0,1798.3530216997779,61,bachelor's_degree,married,m,retiree,0,28020.423
79,0,3278.296751179717,27,secondary_education,unmarried,m,business,0,40589.074
80,0,127.33494240597255,25,secondary_education,unmarried,f,business,0,13238.466
81,0,204.67316553165557,33,secondary_education,married,f,employee,0,17733.314
82,2,1682.928334795601,50,bachelor's_degree,married,f,employee,0,27075.082
83,0,1930.492446048558,52,secondary_education,married,m,employee,0,21529.434999999998
84,0,7125.21502761462,53,secondary_education,married,f,civil_servant,0,40945.468
85,0,275.99384748839213,30,secondary_education,married,m,employee,0,8659.769
86,0,1605.0696503579034,64,secondary_education,civil_partnership,m,retiree,0,38885.353
87,0,1930.492446048558,53,secondary_education,married,f,retiree,0,11898.217
88,0,1615.240920851299,63,bachelor's_degree,civil_partnership,f,retiree,0,33099.576
89,0,72.62578520446468,42,secondary_education,civil_partnership,f,business,0,7914.227
90,2,1682.928334795601,35,bachelor's_degree,married,f,employee,0,27075.082
91,2,5010.9974361252725,39,secondary_education,married,f,employee,0,24941.897
